Iteration,SSIM
1,0.5825003712211483
2,0.5454893501458139
3,0.5073518412584711
4,0.4632998000865548
5,0.4240884006084844
6,0.3948684750798407
7,0.3738337263071876
8,0.3581172644765515
9,0.3463829894191302
10,0.3370476007894328
11,0.3293098016969597
12,0.322423079525477
13,0.3160526631934417
14,0.3109635845846885
15,0.3068553609484044
16,0.3033328962848591
17,0.3003354054824292
18,0.2978082783642971
19,0.2956753721350834
20,0.2935906563504567
21,0.2915577865921248
22,0.2896498752002823
23,0.2877343191700267
24,0.2858720901397829
25,0.284176664477975
26,0.2826068495258732
27,0.2809891799863393
28,0.279369832860549
29,0.2777676702035663
30,0.2761005691814295
31,0.2744976226530992
32,0.2730708488948451
33,0.2716663475690246
34,0.2703614919095959
35,0.2690754927732058
36,0.2678383734853554
37,0.2665635317375106
38,0.2652439417363315
39,0.2640004422056526
40,0.2627932305858785
41,0.2615918316599935
42,0.2603668561888105
43,0.2590568509666967
44,0.2577779620983115
45,0.2565051347693479
46,0.255269981838191
47,0.2541285857180466
48,0.2530425384597087
49,0.2519184213015986
50,0.2507413819286903
51,0.2496116672136276
52,0.2486381214123821
53,0.2477365375354159
54,0.2468859172827583
55,0.2460280863332868
56,0.2450837407537525
57,0.2441684560097844
58,0.2431877180394587
59,0.2422044175092651
60,0.2411986273834284
61,0.2402761910368486
62,0.2393897311881087
63,0.2384995266152208
64,0.2375582003095459
65,0.2366087341521043
66,0.2356583924273896
67,0.2347239918510051
68,0.2337987550238458
69,0.2329300152449417
70,0.232035795497085
71,0.2311019482375986
72,0.2301399030930223
73,0.2292364247199579
74,0.2283429680613381
75,0.2274627562063545
76,0.2265912249844207
77,0.2257114701032112
78,0.2248171698742974
79,0.2240000125564908
80,0.2231806963980543
81,0.2223898016931672
82,0.2215821539512004
83,0.2207793397221909
84,0.2199516503326212
85,0.2191194940763985
86,0.2182780580481869
87,0.2174670002427284
88,0.21666954654471568
89,0.21591269417015865
90,0.21517616323471558
91,0.21446379612128505
92,0.213740087109606
93,0.21305121537078572
94,0.21232089459822462
95,0.21154158721132538
96,0.21077613220914287
